distance,consume,speed,temp_inside,temp_outside,AC,Slip
28,5,26,21.5,12,0,0
12,4.2,30,21.5,13,0,0
11.2,5.5,38,21.5,15,0,0
12.9,3.9,36,21.5,14,0,0
18.5,4.5,46,21.5,15,0,0
8.3,6.4,50,21.5,10,0,0
7.8,4.4,43,21.5,11,0,0
12.3,5,40,21.5,6,0,0
4.9,6.4,26,21.5,4,0,0
11.9,5.3,30,21.5,9,0,0
12.4,5.6,42,21.5,4,0,0
11.8,4.6,38,21.5,0,0,0
12.3,5.9,59,21.5,10,0,0
24.7,5.1,58,21.5,12,0,0
12.4,4.7,46,21.5,11,0,0
17.3,5.1,24,21.5,5,0,0
33.4,5.6,36,21.5,3,0,0
11.8,5.1,32,21.5,3,0,0
25.9,4.9,39,21.5,8,0,0
11.8,4.7,40,21.5,4,0,0
25.3,5.5,32,21.5,3,0,0
14.2,5.9,38,21.5,1,0,0
17.9,5.7,37,21.5,1,0,0
11.8,4.7,36,21.5,1,0,0
12.3,5.9,62,21.5,6,0,0
12.4,4.1,57,21.5,9,0,0
18.4,5.7,21,22.5,2,0,0
18.4,5.8,28,21.5,3,0,0
18.3,5.5,29,21.5,1,0,0
18.4,5.7,35,21.5,4,0,0
12.3,5.3,51,21.5,11,0,0
11.8,5,29,21.5,10,0,0
12.3,5.6,58,21.5,8,0,0
32.6,4.8,40,21.5,7,0,0
19,4.3,36,21.5,7,0,0
12.1,5.7,36,21.5,8,0,0
20,5.2,37,21.5,4,0,0
4.9,7.4,26,21.5,6,0,0
11.8,4.8,23,21.5,9,0,0
12.3,6.5,58,21.5,7,0,0
12.4,4,55,21.5,7,1,1
4.5,5,29,21.5,7,1,0
11.7,4.6,37,21.5,6,0,0
10.2,4.3,44,21.5,7,0,0
16.1,5.4,24,21.5,7,0,1
11.8,4.3,40,21.5,10,0,1
12.3,5.4,58,21.5,13,0,0
12.4,4.3,49,21.5,17,0,0
7,5.2,25,21.5,17,0,0
11.8,4.1,37,21.5,10,0,0
20.1,4.4,41,21.5,18,0,0
20.8,4.5,45,21.5,10,0,0
1.7,10.8,14,21.5,10,0,1
35.9,4.7,45,21.5,12,0,0
36.9,4.8,52,21.5,5,0,0
16.8,4,46,21.5,8,0,0
9.9,5,28,21.5,9,0,0
22.9,4.6,61,21.5,7,0,1
17.3,5,61,21.5,6,1,1
11.8,4.3,37,21.5,7,0,0
36.6,5.2,80,21.5,7,0,1
44.9,4.7,62,21.5,8,0,0
11.8,4.2,34,21.5,9,0,1
21.6,5.3,44,21.5,9,0,1
39.4,5.3,60,21.5,9,0,1
5.1,8.1,39,21.5,4,0,0
26.6,4.8,38,21.5,7,0,0
53.2,5.1,71,21.5,2,0,0
18.9,4.4,53,21.5,2,0,0
43.5,5,80,21.5,3,0,0
6.1,6.3,26,21.5,5,0,0
16.4,4.8,49,21.5,5,0,0
12.3,6.1,40,21.5,6,0,0
21.1,4.6,36,21.5,8,0,0
21.1,4.8,43,21.5,7,0,0
22.7,4.7,55,21.5,6,0,0
44.4,4.8,38,21.5,8,0,0
35.8,4.4,51,21.5,6,0,0
11.8,4.9,44,21.5,0,0,0
26.2,4.9,42,21.5,6,0,0
40.6,4.4,44,21,3,0,0
12.4,5.3,38,21,-5,0,0
14.1,5.3,47,21,-3,0,0
58.7,4.8,75,21,0,0,0
16.2,5.2,29,21,0,0,0
12.3,4.9,50,22.5,0,0,0
12.3,7.1,52,22.5,0,1,2
12.4,5.2,51,22.5,1,0,0
31.8,4.7,59,22.5,3,0,0
12.3,5.1,55,22.5,8,0,0
51.6,5,73,22.5,12,0,0
38.6,4.6,44,22.5,10,0,0
12.3,4.8,41,22.5,7,0,0
81.2,4.4,69,22,13,0,0
130.3,4.6,85,22,12,0,0
67.2,4.3,67,22,18,0,0
19,4.5,29,22.5,10,0,0
12.4,4.8,38,22.5,1,0,0
25.2,5,55,22.5,9,0,0
14.3,4.8,36,22.5,10,0,0
11.8,4.6,40,22.5,2,0,0
16.9,4.5,48,22.5,9,0,0
12.4,4.6,55,22.5,11,0,0
17.4,4.4,36,22.5,12,0,0
9.2,5.7,33,22.5,8,0,1
12.3,5.8,54,22.5,10,0,1
13,5.9,32,22.5,10,0,0
11.8,6.1,16,22.5,6,0,1
13,5.7,37,22.5,11,0,1
12.3,5,42,22.5,10,0,0
12.3,5.2,57,22.5,15,0,0
12.5,4.3,57,22.5,16,0,0
31.5,4.1,30,22.5,16,0,0
11.8,4.4,42,22.5,8,0,0
24.9,4.5,53,22.5,14,0,0
17,3.9,46,22.5,14,0,0
2,8.1,20,22.5,14,0,0
11.8,4.4,33,22.5,8,0,0
7.4,5,31,22.5,12,0,0
12.4,4.7,55,22.5,14,0,0
2,6,22,22.5,14,0,0
14,5,41,22.5,8,0,0
25.7,5,45,22.5,7,0,0
24.5,3.9,50,22,15,0,0
11.8,4.5,28,22.5,12,0,0
4.1,5.4,24,22.5,13,0,0
4.2,5.6,29,22,17,0,0
4.2,3.9,29,22,18,0,0
16,4,40,22,10,0,0
22.9,4,29,22,21,0,0
16,3.8,42,22,8,0,0
15.4,4.5,50,22,14,0,0
16,3.8,41,22,12,0,0
4.2,5.6,32,22,18,0,0
101.9,5.2,75,22,18,0,0
93.9,4.8,88,23,18,1,0
16.6,3.7,49,22,17,0,0
15.4,4.5,43,22,24,0,0
16.5,3.9,43,22,17,0,0
15.4,5.1,21,22,24,0,0
18.4,4.2,59,22,24,0,0
39.5,4.2,58,22,25,0,0
21.5,4.8,47,25,27,1,0
4.8,4.7,26,25,18,0,0
100.9,4.7,87,23.5,22,0,0
129.7,4.6,58,24,21,1,0
16.6,3.8,43,21.5,16,0,0
15.4,4.2,50,21.5,21,0,0
16,3.7,45,22,17,0,0
16,4.2,41,22,15,0,0
15.4,4.1,45,22,24,0,0
16,4,43,22,16,0,0
21,3.8,37,22,21,0,0
15.4,3.8,47,22,24,0,0
16,3.8,42,22,17,0,0
16.1,5.1,30,25,16,1,1
16,4,42,22,15,0,0
15.4,4.8,40,22,18,0,0
17.2,3.9,35,22,16,0,0
16.6,4.6,50,22,25,0,0
